source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
Tube,0,JNJ_CERNER_UNITS,Tube,0,,1970-01-01,2099-12-31,
U,0,JNJ_CERNER_UNITS,Unit,45756942,SNOMED,1970-01-01,2099-12-31,
U/g,0,JNJ_CERNER_UNITS,Units per Gram,0,,1970-01-01,2099-12-31,
U/h,0,JNJ_CERNER_UNITS,Units per Hour,0,,1970-01-01,2099-12-31,
U/mL,0,JNJ_CERNER_UNITS,Units per Milliliter,0,,1970-01-01,2099-12-31,
ug/(24.h),0,JNJ_CERNER_UNITS,Micrograms per 24 Hours,8906,UCUM,1970-01-01,2099-12-31,
ug/d,0,JNJ_CERNER_UNITS,Micrograms per Day,0,,1970-01-01,2099-12-31,
ug/dL,0,JNJ_CERNER_UNITS,Micrograms per Deciliter,0,,1970-01-01,2099-12-31,
Unknown,0,JNJ_CERNER_UNITS,Unknown,0,,1970-01-01,2099-12-31,
Uptake,0,JNJ_CERNER_UNITS,Uptake,0,,1970-01-01,2099-12-31,
VL,0,JNJ_CERNER_UNITS,Vial,0,,1970-01-01,2099-12-31,
Vol,0,JNJ_CERNER_UNITS,Volume,0,,1970-01-01,2099-12-31,
Wafer,0,JNJ_CERNER_UNITS,Wafer,0,,1970-01-01,2099-12-31,
10*12,0,JNJ_CERNER_UNITS,Trillion,0,,1970-01-01,2099-12-31,
10*3,0,JNJ_CERNER_UNITS,Thousand,8566,UCUM,1970-01-01,2099-12-31,
10*4,0,JNJ_CERNER_UNITS,10 Thousand,0,,1970-01-01,2099-12-31,
10*6,0,JNJ_CERNER_UNITS,Million,8549,UCUM,1970-01-01,2099-12-31,
10*8,0,JNJ_CERNER_UNITS,100 Million,0,,1970-01-01,2099-12-31,
10*9,0,JNJ_CERNER_UNITS,Billion,44777660,UCUM,1970-01-01,2099-12-31,
bpm,0,JNJ_CERNER_UNITS,Beats per Minute,0,,1970-01-01,2099-12-31,
Cap,0,JNJ_CERNER_UNITS,Cap,0,,1970-01-01,2099-12-31,
cm,0,JNJ_CERNER_UNITS,Centimeter,8582,UCUM,1970-01-01,2099-12-31,
cm2,0,JNJ_CERNER_UNITS,Square Centimeter,9483,UCUM,1970-01-01,2099-12-31,
cm3,0,JNJ_CERNER_UNITS,Cubic Centimeter,44777662,UCUM,1970-01-01,2099-12-31,
cmH20,0,JNJ_CERNER_UNITS,Centimeters Water,0,,1970-01-01,2099-12-31,
fL,0,JNJ_CERNER_UNITS,Femtoliter,8583,UCUM,1970-01-01,2099-12-31,
[ft_us],0,JNJ_CERNER_UNITS,Foot,0,,1970-01-01,2099-12-31,
[sft_i],0,JNJ_CERNER_UNITS,Square Foot,9403,UCUM,1970-01-01,2099-12-31,
g,0,JNJ_CERNER_UNITS,Gram,8504,UCUM,1970-01-01,2099-12-31,
g/24h,0,JNJ_CERNER_UNITS,Grams per 24 hours,0,,1970-01-01,2099-12-31,
g/12h,0,JNJ_CERNER_UNITS,Grams per 12 hours,0,,1970-01-01,2099-12-31,
gm/24h REMOVE,0,JNJ_CERNER_UNITS,gm/24h REMOVE,0,,1970-01-01,2099-12-31,
granules,0,JNJ_CERNER_UNITS,Granules,0,,1970-01-01,2099-12-31,
gum,0,JNJ_CERNER_UNITS,Gum,0,,1970-01-01,2099-12-31,
h,0,JNJ_CERNER_UNITS,Hour,8505,UCUM,1970-01-01,2099-12-31,
[in_us],0,JNJ_CERNER_UNITS,Inch,0,,1970-01-01,2099-12-31,
kU/L,0,JNJ_CERNER_UNITS,Kilounits per Liter,0,,1970-01-01,2099-12-31,
kCal,0,JNJ_CERNER_UNITS,Kilocalorie,0,,1970-01-01,2099-12-31,
kg,0,JNJ_CERNER_UNITS,Kilogram,9529,UCUM,1970-01-01,2099-12-31,
[lb_av],0,JNJ_CERNER_UNITS,Pound,0,,1970-01-01,2099-12-31,
[lg],0,JNJ_CERNER_UNITS,Log,0,,1970-01-01,2099-12-31,
[lg],0,JNJ_CERNER_UNITS,Log 10,0,,1970-01-01,2099-12-31,
lozenge,0,JNJ_CERNER_UNITS,Lozenge (Pastille),0,,1970-01-01,2099-12-31,
m,0,JNJ_CERNER_UNITS,Meter,9546,UCUM,1970-01-01,2099-12-31,
M/dL,0,JNJ_CERNER_UNITS,Meter per Deciliter,0,,1970-01-01,2099-12-31,
m2,0,JNJ_CERNER_UNITS,Square Meter,8617,UCUM,1970-01-01,2099-12-31,
meq,0,JNJ_CERNER_UNITS,Milliequivalent,9551,UCUM,1970-01-01,2099-12-31,
meq/L,0,JNJ_CERNER_UNITS,Milliequivalents per Liter,9557,UCUM,1970-01-01,2099-12-31,
meq/day,0,JNJ_CERNER_UNITS,Milliequivalents per Day,0,,1970-01-01,2099-12-31,
meq/kg,0,JNJ_CERNER_UNITS,Milliequivalents per Kilogram,9556,UCUM,1970-01-01,2099-12-31,
meq/vol,0,JNJ_CERNER_UNITS,Milliequivalents per Total Volume,0,,1970-01-01,2099-12-31,
m[IU]/L,0,JNJ_CERNER_UNITS,MilliInternational Units per Liter,0,,1970-01-01,2099-12-31,
mL,0,JNJ_CERNER_UNITS,Milliliter,8587,UCUM,1970-01-01,2099-12-31,
mL/day,0,JNJ_CERNER_UNITS,Milliliters per Day,0,,1970-01-01,2099-12-31,
mL/min,0,JNJ_CERNER_UNITS,Milliliters per Minute,8795,UCUM,1970-01-01,2099-12-31,
mosm,0,JNJ_CERNER_UNITS,Milliosmoles,8605,UCUM,1970-01-01,2099-12-31,
mosm/kg,0,JNJ_CERNER_UNITS,Milliosmoles per Kilogram,8862,UCUM,1970-01-01,2099-12-31,
mcU/mL,0,JNJ_CERNER_UNITS,MicroUnit per Milliliter,8860,UCUM,1970-01-01,2099-12-31,
ug,0,JNJ_CERNER_UNITS,Microgram,9655,UCUM,1970-01-01,2099-12-31,
ug/L,0,JNJ_CERNER_UNITS,Micrograms per Liter,0,,1970-01-01,2099-12-31,
ug/d dup,0,JNJ_CERNER_UNITS,Micrograms per Day dup,0,,1970-01-01,2099-12-31,
ug/dL dup,0,JNJ_CERNER_UNITS,Micrograms per Deciliter dup,0,,1970-01-01,2099-12-31,
ug/h,0,JNJ_CERNER_UNITS,Micrograms per Hour,0,,1970-01-01,2099-12-31,
ug/mL,0,JNJ_CERNER_UNITS,Micrograms per Milliliter,0,,1970-01-01,2099-12-31,
mg,0,JNJ_CERNER_UNITS,Milligram,8576,UCUM,1970-01-01,2099-12-31,
mg%,0,JNJ_CERNER_UNITS,Milligram %,0,,1970-01-01,2099-12-31,
mg/0.5 mL,0,JNJ_CERNER_UNITS,Milligrams per 0.5 Milliliters,0,,1970-01-01,2099-12-31,
mg/(12.h),0,JNJ_CERNER_UNITS,Milligrams per 12 Hours,8908,UCUM,1970-01-01,2099-12-31,
mg/24h,0,JNJ_CERNER_UNITS,Milligrams per 24 Hours,8909,UCUM,1970-01-01,2099-12-31,
